JobRefNo,DigerPozisyon,Qualifications,sub-classification
3446584,Destek Hizmetleri Yetkilisi,"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">voestalpine High Performance Metal A.Ş., voestalpine High Performance Metals Division Grubu’nun Türkiye’deki satış firmasıdır. Bölümümüz, teknolojik açıdan zorlu ürün segmentlerine odaklanır ve takım çeliği, özel çelikler için global pazar lideri konumundadır.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Gebze Çayırova TOSB da bulunan merkez ofisimiz için aşağıdaki özelliklere sahip&nbsp;<strong>Destek Hizmetleri Yetkilis</strong><strong>i</strong><strong>&nbsp;</strong>arayışımız bulunmaktadır. Bu pozisyonun kadrosu farklı bir firma bünyesinde bulunacaktır.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>İŞ TANIMI&nbsp;</strong><br></p><ul><li>Santrali yönetmek, gelen ziyaretçileri karşılayıp, yönlendirmek.</li><li>Kargo sürecini yönetmek.</li><li>İnsan Kaynakları ve İdari İşler süreçlerine destek vermek.</li><li>Seyahat organizasyonlarını yapmak, vize süreçlerini takip etmek.</li></ul><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>GEREKLİ NİTELİKLER</strong></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpFirst"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;En az MYO ve / veya&nbsp; lisans mezuniyeti, tercihan yabancı dille eğitim veren okullardan mezuniyet.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Benzer süreçlerde 2 -3 yıl tecrübeli.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp; &nbsp; &nbsp;&nbsp;Analitik düşünebilen, çözüm odaklı, dikkatli ve planlı çalışma yeteneğine sahip.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;MS Office programlarına hakim.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Tercihen ERP programı kullanmış.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Etkin iletişim kurabilen, takım çalışmasına yatkın gelişime açık.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Müşteri odaklı, takım oyuncusu, sabırlı.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp; &nbsp; &nbsp; Gelişime açık, insan kaynakları süreçlerine ilgi duyan.&nbsp; &nbsp; &nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpLast"">·&nbsp; &nbsp; &nbsp; Erkek adaylar için askerlik hizmetini tamamlamış.&nbsp;<br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">&nbsp;·&nbsp; &nbsp; &nbsp;Gebze ve civarı ya da Istanbul Anadolu yakasında ikamet eden.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">&nbsp;</p>",Destek
3446575,Saha Mühendisi,"<p class=""x_MsoNormal"">1980 yılında kurulan ve kurulduğu günden beri hayata geçirdiği konut, fabrika, otel, cami, köprü, plaza, site, iç mimari ve alt yapı gibi tüm projelerde Türkiye’nin kentsel dönüşüm vizyonuna hizmet eden&nbsp;GENYAP’ın,</p><p>Şirketimizin Kağıthane ilçesinde bulunan şantiyelerinde görevlendirilmek üzere aşağıdaki niteliklere sahip ‘SAHA MÜHENDİSİ’ aranmaktadır.</p><p><br>GENEL NİTELİKLER</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Üniversitelerin İnşaat Mühendisliği/İnşaat Teknikeri bölümlerinden mezun,</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; En az 5 yıl tecrübeye sahip, endüstriyel kalıp sistemleri ile şantiye kaba yapı işlerinde çalışmış ve bu konuda kendini geliştirmek isteyen,</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Mimari proje ve statik projelerin uyumunu kontrol edebilecek,</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; İş kalitesini ön planda tutacak,</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Problem çözme becerisi olan,</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Statik projelerin malzeme metrajlarını yapabilecek,</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sonuç odaklı çalışan,</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Yoğun çalışma temposu ve esnek çalışma saatlerine uyum sağlayabilen,</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Erkek adaylar için askerlikle ilişkisi bulunmayan,</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; MS Office ve Autocad programlarına hakim,</p><p class=""x_xmsolistparagraph"">•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Diğer disiplin şefleri ile koordineli bir şekilde çalışmak,</p><p class=""x_xmsolistparagraph"">•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Betonarme imalatlar konusunda&nbsp;deneyimli ve imalat, yöntem, detaylar ile malzeme konularına hakim,&nbsp;&nbsp;</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; İstanbul Avrupa yakasında ikamet eden.</p><p>İŞİN TANIMI</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Alt taşeronları organize ederek imalatların kaliteli bir şekilde projeye ve iş programına uygun olarak yapımını denetlemek, Proje Müdürü'ne raporlama yapmak,</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Statik projeleri inceleyip yapılan revizyonların takibini sağlamak,</p><p>•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sahadaki iksa, hafriyat ve kaba işler taşeronları arasında koordinasyonu sağlamak,</p><p class=""x_xmsolistparagraph"">•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Kaba işler kapsamındaki hakkedişlerde teknik ofise destek vermek.</p><p></p><p class=""x_xmsolistparagraph"">•&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; İş programına bağlı olarak projenin kaba işlerinin takip ve koordinasyonunu yapmak.</p>",Teknik Saha Hizmetleri
3446561,Garson,<p>Güleryüzlü</p><p>İşi bilen</p><p>Çalışkan</p><p>Ekiple uyum sağlayan</p><p>İletişimi kuvvetli</p><p>Gıda sektörünü bilen</p><p>Ulaşım problem olmayan</p><p>Arkadaşları bekliyoruz</p>,Restoran Hizmetleri
3446556,Saha Mühendisi,"<ul><li><span><span>Üniversitelerin inşaat mühendisliği bölümlerinden mezun,</span></span></li><li><span><span>Betonarme İşleri ve Çelik Konstrüksiyon İmalat, montaj ve takip işlerinde tecrübeli,<br></span></span></li><li><span><span>Endüstriyel ve lojistik&nbsp;tesis inşaatlarında en az 5 yıl tecrübeli</span></span></li><li><span><span>İngilizce bilen</span></span> </li><li><span><span>Takım çalışmasına uyumlu</span></span> </li><li><span><span>Yoğun çalışma temposuna uygun</span></span> </li><li><span><span>Askerliğini tamamlamış (erkek adaylar için geçerlidir)</span></span></li></ul><br><br><h3>İŞ TANIMI</h3><p><span><span>İzmir bölgesindeki endüstriyel tesis inşaatlarımızda saha mühendisi olarak çalışma.</span></span></p>&nbsp;",Teknik Saha Hizmetleri
3446554,Saha Mühendisi,"<ul><li>Üniversitelerin İnşaat Mühendisliği bölümünden mezun<br></li><li>Kırklareli bölgesi şantiyemizde Saha Mühendisi olarak çalışacak</li><li>Endüstriyel tesis inşaatlarında en az 3 yıl deneyimli&nbsp;</li><li>AutoCAD çizim programlarını kullanabilen,</li><li>Tercihen Ms-Project programını kullanabilen</li><li>Askerliğini tamamlamış (erkek adaylar için)</li></ul><br><h3>İŞ TANIMI</h3><p><span><span>Kırklareli bölgesindeki Endüstriyel Tesis ve Yönetim Binası inşaatlarımızda saha mühendisi olarak çalışacak.</span></span></p>&nbsp;",Teknik Saha Hizmetleri
3446547,Kuaför,"<p class=""x_x_x_x_x_x_x_MsoNormal""><strong>DİLAN POLAT HAIR & NAILL ATAŞEHİR ŞUBEMİZE</strong></p><p class=""x_x_x_x_x_x_x_MsoNormal"">Kuaför bölümümüz için çalışacak tecrübeli&nbsp; ''Kuaför' ekip arkadaşları arıyoruz.</p><p class=""x_x_x_x_x_x_x_MsoNormal""></p><ul><li><strong>5-10 yıl tecrübeli</strong></li><li>Yoğun iş temposuna ayak uydurabilecek</li><li>Güler yüzlü, iletişimi kuvvetli, gelişime açık ve sorumluluk sahibi ekip arkadaşları arıyoruz.</li></ul><p></p>",Kuaför ve Makyaj Hizmeti
3446515,Temizlik Görevlisi,<p>Diş kliniğimizde çalıştırılmak üzere.</p><p>Klinik temizlik işlerine bakacak ve aynı zamanda gelen misafirlerimize içecek iramlarını yapacak bayan personel aramaktayız.</p>,Temizlik Hizmetleri
3446502,Aşçı,"<ul type=""disc"" color="""" color=""""><li class=""x_x_MsoNormal"">En az önlisans mezunu , tercihen MYO Aşçılık bölümü mezunu,</li><li class=""x_x_MsoNormal"">En az 5 yıllık aşçılık deneyimi olan,</li><li class=""x_x_MsoNormal"">Tercihen hastane deneyimi olan</li><li class=""x_x_MsoNormal"">Dinamik,yaratıcılık yönü kuvvetli, takım çalışmasına yatkın,</li><li class=""x_x_MsoNormal"">Pozisyon ile ilgili yeterlilik sertifikalarına sahip,</li><li class=""x_x_MsoNormal"">Hijyen belgesi olan,</li></ul>",Aşçılık
3446474,Restoran Müdürü,"<p>firmamızda çalışmak üzere tecrübeli,</p><p>güler yüzlü, insan ilişkileri ve iletişimde güçlü,</p><p>ekip yönetiminde başarılı,</p><p>mesleki ve kişisel gelişime önem veren,</p><p>ekibe koçluk,liderlik ve eğitmenlik yapabilecek,</p><p>çalışma arkadaşı aramaktayız.</p>",Restoran Hizmetleri
3446451,Pastane Demi Chef,"<p><span>NG Enjoy otelimizde ""Pastane Demi Şef""</span><span>&nbsp;olarak görevlendirilmek üzere&nbsp;aşağıda belirtilen niteliklere sahip;</span><br></p><ul><li>Tercihen gastronomi bölümü mezunu,</li><li>5 yıldızlı otellerde en az 3 yıl pastane bölümünde çalışmış,</li><li><span>Türk mutfağı ve Uluslararası lezzetler konusunda deneyimli,</span></li><li>Hijyen kurallarına dikkat eden, temizliğe ve titizliğe özen gösteren,</li><li>Ekip çalışmasına yatkın,</li><li>Sakarya/Kocaeli'nde ikamet eden ya da edebilecek,</li><li>Erkek adaylarda askerliğini yapmış,</li></ul><p><br></p><p>‘Her bir konuğumuzu, tek bir konuğumuzmuş gibi ağırlayacak takım arkadaşları arıyoruz.<br></p><p><br></p><p><span>Not: İl dışından gelenler için lojman imkanı sunulmaktadır.</span></p>",Restoran Hizmetleri
3446432,Barista,"<p>Wise Coffee ailesi olarak Karaman şubelerimiz&nbsp;için&nbsp;hizmet sektöründe çalışmak isteyen, güler yüzü hayatının bir parçası edinmiş, deneyimli ya da yetiştirilmek üzere, eğitime ve ilerlemeye açık, kahve sever&nbsp;""Baristalar""&nbsp;arıyoruz.</p><p>Genel Nitelikler</p><ul color="""" color=""""><li>Kahve sektöründe kariyer yapmak isteyen</li><li>Yoğun çalışma temposuna ve esnek çalışma saatlerine uyum sağlayabilen</li><li>İletişim ve ilişki yönetiminde başarılı, temsil yeteneği güçlü</li><li>İş planlama ve takip yönü gelişmiş, ekip çalışmasına yatkın</li><li>Yeni fikirlere açık</li><li>En az lise, tercihen ön lisans ya da lisans mezunu</li><li>Erkek adaylar için askerliğini yapmış olmak yada tecilli olmak</li></ul><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_mb20"">İş Tanımı</p><ul color="""" color=""""><li>Wise Coffee&nbsp; marka standartlarına uygun bir şekilde ürünlerin hazırlanması ve sunulması,</li><li>Misafirlerimizi güler yüzle karşılayarak şubeden mutlu ayrılmalarının sağlanması,</li><li>Sorumluluk alanındaki ürünlerin kalite ve SKT takiplerini gerçekleştirilmesi,</li><li>Marka ürünlerimiz hakkında detaylı bilgi sahibi olmak ve misafirlerimize tanıtılması,</li><li>Şubenin genel düzen ve temizliğinden sorumlu olmak,</li><li>Hijyen, güvenlik ve sağlık kurallarına uygun çalışmak.</li></ul>",Restoran Hizmetleri
3446425,Çay Servis ve Temizlik Elemanı,<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p>IVECO YETKİLİ SERVİSİMİZDE ÇALIŞACAK&nbsp;ÇAY VE TEMİZLİK PERSONELİ ARANMAKTADIR&nbsp;<br></p><p>MİSAFİR AĞIRLAMA KURALLARINA TİTİZLİKLE DİKKAT EDEN&nbsp;&nbsp;</p><p>OFİS TEMİZLİK İŞLERİYLE İLGİLENECEK&nbsp;</p><p>DAHA ÖNCEDEN ÇAY VE TEMİZLİK İŞİNDE&nbsp; ÇALIŞMIŞ<br></p><p>HİJYEN KONUSUNDA BİLGİLİ VE HİJYENE ÖNEM VEREN</p><p>DİKSİYONU DÜZGÜN<br></p><p>KİŞİSEL BAKIMINA ÖNEM VEREN.<br></p><p>MAAŞ+YEMEK+ULAŞIM İMKANLARI MEVCUTTUR.</p><p>CALISMA SAATLERİ&nbsp; 08:30 - 18:00</p>,Yiyecek / İçecek Servisi
3446409,İngilizce Tercüman,"<ul color="""" color=""""><li>Ana dili seviyesinde İngilizce bilen (konuşma, okuma, yazma),<br></li><li>Üniversitelerin lisans bölümlerinden mezun,<br></li><li>Tercihen sağlık sektörü deneyimine sahip,<br></li><li>Hasta ve hasta yakınları ile etkili iletişim kurabilen,</li><li>Telefon ile satış ve pazarlama yapabilecek,</li><li>Planlama, organizasyon ve raporlama becerisine sahip,<br></li><li>Sistemli ve düzenli çalışma prensibine sahip,</li><li>Güler yüzlü dinamik ve prezantabl,<br></li><li>Takım çalışmasına yatkın,<br></li><li>MS Office programlarına hâkim,</li></ul><p>""İngilizce Bilen Tercüman"" aramaktayız.</p>",Tercüme Hizmetleri
3446407,Cam Temizlik Görevlisi,"<ul><li>Tercihen lise mezunu olmak,<br></li><li>Yüksekte çalışma ve sepet operatörü sertifikalarına sahip olmak,<br></li><li>Dış görünüşüne ve kişisel bakımına dikkat etmek,<br></li><li>Diksiyonu düzgün, güler yüzlü, sıcakkanlı ve pozitif olmak.<br></li></ul><p><br></p><p>İşe alınacak aday, Wyndham Grand İstanbul Levent otelimizin <strong>İşletme Ortak Alanlar departmanında</strong>&nbsp; “<strong>Cam Temizlik Görevlisi&nbsp;</strong>” olarak görevlendirilecektir.<br></p>",Temizlik Hizmetleri
3446400,Patenli Garson,<p>Tercihen Turizm sektöründe deneyim sahibi</p><p>İletişim konusunda başarılı ve aktif</p><p>F&B departmanı işleyişi hakkında bilgili</p><p>Misafir ve çözüm odaklı çalışan</p><p>Emniyetli ve hızlı paten kullanabilen</p><p>Pozitif adaylar aranmaktadır</p><p><br></p>,Restoran Hizmetleri
3446397,Güzellik Uzmanı,"<p>Dermokozmetik ürünlere hakim ,Güzellik sektöründe görev yapmış, Cilt bakımı yapabilen,&nbsp; Dermokozmetik ürünlerin güzellik merkezlerinde uygulamalı olarak tanıtım ve satışını yapabilecek satış tecrübesine de sahip, araç kullanabilen alanında en az 2 yıl tecrübeli, saha da çalışabilecek, seyahat engeli bulunmayan, güler yüzlü, dinamik arkadaşları arıyoruz.<br></p>",Cilt Bakımı ve Güzellik
3446387,Outlet Manager,"<h2><p><span>Mandarin Oriental Bosphorus, Istanbul</span><br></p><p>Mandarin Oriental Bosphorus, Istanbul has become Mandarin Oriental Hotel Group's second hotel in Turkey. The hotel is located on the European side of Istanbul, in the luxurious residential district of Kuruçeşme, right next to the unique Bosphorus.</p><p>Mandarin Oriental Bosphorus, Istanbul located on the shores of the Bosphorus with its lush, generous, and magical gardens, in the city center with two outdoor pools, 100 spacious guest rooms and suites, rich Sunday brunches with menus from unique Turkish and world delicacies,&nbsp;world-famous Novikov Restaurant for lunch and dinner, serving Italian and Mediterranean specialties, as well as delicious sushi varieties and many other special Pan-Asian delicacies,consists of innovative restaurants and bars and opulent and elegant banquet facilities.Spanning an area of 3,500 square meters, The Spa at Mandarin Oriental Bosphorus, Istanbul, is one of the best and most comprehensive health and beauty centers in Istanbul.</p></h2><h2><u><span lang=""EN-GB"">Main responsibilities:</span></u></h2><p class=""x_x_x_x_x_x_x_MsoHeader""><br></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Set an example by reporting to duty punctually wearing business attire according to the hotels dress code & Mandarin Oriental grooming standards, always maintaining a high standard of personal appearance and hygiene.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Always provide a professional and courteous service and ensure that all employees of the assigned outlet follow the example.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Be knowledgeable of all services and products offered by the hotel.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Understand thoroughly the concept of the outlet and train all employees of the outlet regarding the concept.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Set an example in terms of service, products and guidance of the team that reflects the concept.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Know the restaurant scene and gastronomic character of the destination and be recognized in the market.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Produce reports and analysis of the outlet and present report in the monthly meeting.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Lead the outlet efficiently in cost and expenses, constantly delivering the highest quality as well as driving high top line revenue and profit.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Assist in preparation of the outlet’s budget.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Conduct monthly inventory (food, beverage, linen ext.) together with the finance department.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Establish a pool of qualified and trained full and part time employees in conjunction with the hotel’s Human Resources Department.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Ensure an effective payroll control through a flexible work force maximizing the utilization of part time employees and closely cooperating with other Food & Beverage departments.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Monitor operating supplies, equipment and reduce spoilage and wastage successfully.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Attend and contribute to all staff meetings, departmental trainings, and hotel-initiated trainings.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Manage meetings with the kitchen team and fostering team work to constantly develop outlets for more success.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Attend all required trainings as described by the department.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Conduct daily pre-shift meetings to employees on preparation, guest profile, service and menu served.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Prepare and review outlet’s operations manual updates annually in accordance with the Assistant Managers.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Constantly improve the product quality by sourcing the best available products.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Support activities and cooperation with the suppliers.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Monitor and constantly improve quality and guest satisfaction of the outlet with the given tools (Leading Quality Assurance, MOQA).</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Organize all required outlet specific trainings as described by the department.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Undertake reasonable tasks and secondary duties as appointed by the Head of Department.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Respond to any changes in the department as dictated by the hotel management.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Handle guest enquiries and complaints in the outlet in a courteous and efficient manner and report to F&B Director ensuring that the follow up is performed with the guest.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Ensure that the opening and closing procedures established for the outlet are followed.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Assign responsibilities to subordinates implementing a multi-tasking principle and check their performance periodically.</span></p><h2><u><span lang=""EN-GB"">Key Responsibilities:</span></u></h2><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">All rules & regulations are strictly adhered within the hotel including hotel’s policy on fire and safety as well as hygiene regulations including HACCP.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">The sales are driven to the outlet’s full potential and that budget is adhered to.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">A high quality of product and service is maintained in the outlet.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">The outlet is developed in an entrepreneurial manner, looking for opportunities to always generate more business.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Innovation and new ideas are fostered, collected, and communicated to the Head of Department.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">The growth of internal talent within the outlet is successfully implemented.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">At Mandarin Oriental, Talent Development is a management responsibility and consequently an integral and important part of daily activities.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">The Outlet Manager is responsible of the following Talent Development tasks for their outlet:</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Give constant feedback to all employees of the outlet.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">Conduct yearly performance appraisals and for all employee of the outlet (unless Head of Department can do it), providing feedback on their job performance.</span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB""></span></p><p class=""x_x_x_x_x_x_x_MsoHeader""><span lang=""EN-GB"">A Hotel Talent is an employee, who can do the current job in their hotel and can be promoted to the next level.&nbsp;</span></p>",Restoran Hizmetleri
